Date,Ref No,Outlet,Point of Sales,Cashier,Membership No,Category,Item No,Item Name,Group,Sub-Group,Qty,Nett Sales,Hdr Remark,Line Remark,Line Info
2024-08-01,OR24080100510019,DORS,DO-P1,DF0001,DO1100231863,SYSTEM,MEMBER,Membership signup,0,0,1,0,,,
2024-08-01,OR24080100510019,DORS,DO-P1,DF0001,DO1100231863,JOANNALSM,JONL100377,  I Heart Wonderland Tee T-Shirt Beige S ,FASHION ACCESSORIES,T-Shirt,1,57.13,,,LOCAL/PR
2024-08-01,OR24080100510019,DORS,DO-P1,DF0001,DO1100231863,JOANNALSM,JONL100382,  I Heart Wonderland Tee T-Shirt Black M ,FASHION ACCESSORIES,T-Shirt,1,57.13,,,LOCAL/PR
2024-08-01,OR24080100510020,DORS,DO-P1,DF0001,WALK-IN,EDEN&ELIE,EDEL100099,Striped Medallion Drop Earrings - Lovebird,FASHION ACCESSORIES,EARRING,1,131,,,LOCAL/PR
2024-08-01,OR24080100510021,DORS,DO-P1,DF0007,DO1100231864,THE ANIMAL PROJECT,AMPJ100182,T-Shirt Unisex - Bird Collage Beige XL,FASHION APPAREL,UNISEX TOP,1,35,,,TOURIST
2024-08-01,OR24080100510021,DORS,DO-P1,DF0007,DO1100231864,THE ANIMAL PROJECT,AMPJ100195,Ceramic Coaster (Set of 2) Macaw & Cockatoo   ,SMALL HOME FURNISHING,TABLEWARE,1,24,,,TOURIST
2024-08-01,OR24080100510021,DORS,DO-P1,DF0007,DO1100231864,SYSTEM,MEMBER,Membership signup,0,0,1,0,,,
2024-08-01,OR24080100510022,DORS,DO-P1,DF0003,DO1100231865,SYSTEM,MEMBER,Membership signup,0,0,1,0,,,
2024-08-01,OR24080100510022,DORS,DO-P1,DF0003,DO1100231865,DESIGN ORCHARD,DORS100034,Design Orchard Limited Edition Fan (PWP),GIFTING / STATIONERY,SET,2,19.8,,,LOCAL/PR
2024-08-01,OR24080100510022,DORS,DO-P1,DF0003,DO1100231865,SINGLAPA,SILA100123,[Singlapa] Tropical Flowers Tea Towel,SMALL HOME FURNISHING,TABLEWARE,1,28.8,,,LOCAL/PR
2024-08-01,OR24080100510022,DORS,DO-P1,DF0003,DO1100231865,SG MEMORIES,SGME100068,Singapore Memories 15ml Heritage Perfume,BEAUTY AND WELLNESS,FRAGRANCE,1,21.6,,,LOCAL/PR
2024-08-01,OR24080100510023,DORS,DO-P1,DF0003,10010260,TALKING TOES,TTOE100026,Talking Toes - Never Grow Up Oversized Tee (Cream) M,FASHION ACCESSORIES,APPAREL,1,56,,,LOCAL/PR
2024-08-01,OR24080100510023,DORS,DO-P1,DF0003,10010260,TALKING TOES,TTOE100030,Talking Toes - Pure Axe-citement Athletic Sock - S,FASHION ACCESSORIES,SOCK,1,16.9,,,LOCAL/PR
2024-08-01,OR24080100510024,DORS,DO-P1,DF0003,WALK-IN,PHOTO PHACTORY,PHPH100041,CHINESE TAI TAI COLLECTION COASTERS,SMALL HOME FURNISHING,TABLEWARE,1,76,,,TOURIST
2024-08-01,OR24080100510025,DORS,DO-P1,DF0003,WALK-IN,FEED MY PAWS,PAWS100001,Salmon Chips Pet Treats 60G,FOOD,PET FOOD,1,18.6,,,
2024-08-01,OR24080100510025,DORS,DO-P1,DF0003,WALK-IN,FEED MY PAWS,PAWS100003,Super Salami Pet Treats 70G,FOOD,PET FOOD,1,14.1,,,
2024-08-01,OR24080100510025,DORS,DO-P1,DF0003,WALK-IN,FEED MY PAWS,PAWS100005,Cheesy Cheese Chompers Pet Treats 100G,FOOD,PET FOOD,1,16.4,,,
2024-08-01,OR24080100510026,DORS,DO-P1,DF0003,DO1100231851,RARE BIRD,RARE100053, Peranakan Floral Stud - Blue Vase,FASHION ACCESSORIES,EARRING,1,82,,,LOCAL/PR
2024-08-01,OR24080100510027,DORS,DO-P1,DF0001,100215623,FOUNDATION JEWELLERS,FDJW00000,FOUNDATION JEWELLERS,FINE JEWELLERY,0,1,2340,,FDJW - 18K PERANAKAN DIAMOND FLOWER EARRING,TOURIST
2024-08-01,OR24080100520002,DORS,DO-P2,DF0001,WALK-IN,TALKING TOES,TTOE100035,Talking Toes - Go for MILO Athletic Sock - M,FASHION ACCESSORIES,SOCK,1,15.21,,,LOCAL/PR
2024-08-01,OR24080100520002,DORS,DO-P2,DF0001,WALK-IN,TALKING TOES,TTOE100011,Talking Toes Crew Socks,FASHION ACCESSORIES,SOCK,1,14.31,,,LOCAL/PR
2024-08-01,OR24080100520003,DORS,DO-P2,DF0001,WALK-IN,THE ANTECEDENT STORE,TASS100001,TAS CLASSIC EARRINGS,FASHION ACCESSORIES,EARRING,1,38.41,,,TOURIST
2024-08-01,OR24080100520004,DORS,DO-P2,DS0004,DO1100231812,STRAIT LIGHTS,STRL100053,Holland Village Neighbourhood Candle White  ,SMALL HOME FURNISHING,CANDLE,1,58.35,"
REFUND REASON: 2",,
2024-08-01,OR24080100520004,DORS,DO-P2,DS0004,DO1100231812,STRAIT LIGHTS,STRL100004,Tanglin Candle 280G,SMALL HOME FURNISHING,CANDLE,1,58.35,"
REFUND REASON: 2",,
2024-08-01,OR24080100520004,DORS,DO-P2,DS0004,DO1100231812,FORBIDDEN HILL,FBHL100240,Pendant - Silk Slides PNDT ACSY Lava Orange ,FASHION ACCESSORIES,PENDANT,1,9,"
REFUND REASON: 2",,
2024-08-01,OR24080100520004,DORS,DO-P2,DS0004,DO1100231812,FORBIDDEN HILL,FBHL100137,16mm - Silk Slides BNGL ACSY Lava Orange,FASHION ACCESSORIES,BRACELET,-1,-25,"
REFUND REASON: 2",,TOURIST
2024-08-01,OR24080100520004,DORS,DO-P2,DS0004,DO1100231812,FORBIDDEN HILL,FBHL100147,16mm - Silk Slides BNGL ACSY Peranakan Blue,FASHION ACCESSORIES,BRACELET,-1,-25,"
REFUND REASON: 2",,TOURIST
2024-08-01,OR24080100520004,DORS,DO-P2,DS0004,DO1100231812,DESIGN ORCHARD,DORS100039,Design Orchard Greeting Cards (Single),GIFTING / STATIONERY,STATIONERY,2,4,"
REFUND REASON: 2",,
2024-08-01,OR24080100520004,DORS,DO-P2,DS0004,DO1100231812,SYSTEM,MEMBER,Membership signup,0,0,-1,0,"
REFUND REASON: 2",,
2024-08-01,OR24080100510030,DORS,DO-P1,DF0004,DO1100231867,SYSTEM,MEMBER,Membership signup,0,0,1,0,,,
2024-08-01,OR24080100510030,DORS,DO-P1,DF0004,DO1100231867,ARTHUR ZAARO,ARTZ100013,AZ.ART.65,SMALL HOME FURNISHING,CHOPPING BOARD,1,65,,,LOCAL/PR
2024-08-01,OR24080100510030,DORS,DO-P1,DF0004,DO1100231867,SINGLAPA,SILA100032,[Singlapa] Singapore A-Z Shopping Bag,FASHION ACCESSORIES,BAG,1,30.9,,,LOCAL/PR
2024-08-01,OR24080100510031,DORS,DO-P1,DS0004,100215623,STRAIT LIGHTS,STRL100035,Gardens by the Bay East Strait Scenes Bracelet - 16cm,FASHION ACCESSORIES,BRACELET,1,48,,,
2024-08-01,OR24080100510031,DORS,DO-P1,DS0004,100215623,STRAIT LIGHTS,STRL100038,Haji Lane Bracelet 16cm,FASHION ACCESSORIES,BRACELET,1,48,,,
2024-08-01,OR24080100510032,DORS,DO-P1,DS0004,WALK-IN,TALKING TOES,TTOE100011,Talking Toes Crew Socks,FASHION ACCESSORIES,SOCK,1,15.9,,,LOCAL/PR
2024-08-01,OR24080100510033,DORS,DO-P1,DS0004,WALK-IN,TALKING TOES,TTOE100011,Talking Toes Crew Socks,FASHION ACCESSORIES,SOCK,1,15.9,,,
2024-08-01,OR24080100510033,DORS,DO-P1,DS0004,WALK-IN,TALKING TOES,TTOE100013,Talking Toes Ankle Socks,FASHION ACCESSORIES,SOCK,1,15.9,,,
2024-08-01,OR24080100520005,DORS,DO-P2,DS0004,DO2100225194,PEARLY LUSTRE,PERL100042,KE00096  EARRING TAHITIAN WHITE GOLD,FINE JEWELLERY,EARRING,1,616,,,LOCAL/PR
2024-08-01,OR24080100520005,DORS,DO-P2,DS0004,DO2100225194,THE ANIMAL PROJECT,AMPJ100165,T-Shirt Unisex - Macaw Blue L,FASHION APPAREL,UNISEX TOP,1,35,,,LOCAL/PR
2024-08-01,OR24080100520005,DORS,DO-P2,DS0004,DO2100225194,SYSTEM,MEMBER,Membership signup,0,0,1,0,,,
2024-08-01,OR24080100520006,DORS,DO-P2,DS0004,DO2100225194,THE ANIMAL PROJECT,AMPJ100013,B&W THERMAL MUG - GIRAFFE DRINKWARE,SMALL HOME FURNISHING,TABLEWARE,1,24,,,LOCAL/PR
2024-08-01,OR24080100510034,DORS,DO-P1,DF0003,DO1100231869,SYSTEM,MEMBER,Membership signup,0,0,1,0,,,
2024-08-01,OR24080100510034,DORS,DO-P1,DF0003,DO1100231869,TALKING TOES,TTOE100013,Talking Toes Ankle Socks,FASHION ACCESSORIES,SOCK,2,28.62,,,LOCAL/PR
2024-08-01,OR24080100510034,DORS,DO-P1,DF0003,DO1100231869,TALKING TOES,TTOE100031,Talking Toes - Pure Axe-citement Athletic Sock - M,FASHION ACCESSORIES,SOCK,1,15.21,,,LOCAL/PR
2024-08-01,OR24080100510035,DORS,DO-P1,DF0003,DO2100225194,ARTHUR ZAARO,ARTZ100013,AZ.ART.65,SMALL HOME FURNISHING,CHOPPING BOARD,1,65,,,LOCAL/PR
2024-08-01,OR24080100510035,DORS,DO-P1,DF0003,DO2100225194,ARTHUR ZAARO,ARTZ100016,AZ.ART.95,SMALL HOME FURNISHING,CHOPPING BOARD,1,95,,,LOCAL/PR
2024-08-01,OR24080100510035,DORS,DO-P1,DF0003,DO2100225194,ARTHUR ZAARO,ARTZ100019,AZ.ART.145,SMALL HOME FURNISHING,CHOPPING BOARD,1,145,,,LOCAL/PR
2024-08-01,OR24080100510036,DORS,DO-P1,DF0003,DO1100231868,EXTRA NOODLES,EXNO100026, Bowl Bear Tempura Ramen DOE T-Shirt Peanut Butter M,FASHION APPAREL,UNISEX TOP,1,59.9,,,LOCAL/PR
2024-08-01,OR24080100510036,DORS,DO-P1,DF0003,DO1100231868,SYSTEM,MEMBER,Membership signup,0,0,1,0,,,
2024-08-01,OR24080100510037,DORS,DO-P1,DF0003,WALK-IN,TUTTLE,TUTT100053,Asian Children's Fav Stories,GIFTING / STATIONERY,STATIONERY,1,22.89,,,
2024-08-01,OR24080100510037,DORS,DO-P1,DF0003,WALK-IN,TUTTLE,TUTT100098,Chinese Celebrations,GIFTING / STATIONERY,STATIONERY,1,26.16,,,
2024-08-01,OR24080100510037,DORS,DO-P1,DF0003,WALK-IN,RARE BIRD,RARE100059, Orchid Floral Pendant Necklace - Pink,FASHION ACCESSORIES,PENDANT,1,92,,,
2024-08-01,OR24080100510037,DORS,DO-P1,DF0003,WALK-IN,STRAIT LIGHTS,STRL100027,Botanic Gardens Bracelet - Corded Adjustable,FASHION ACCESSORIES,BRACELET,1,48,,,
2024-08-01,OR24080100510038,DORS,DO-P1,DF0003,WALK-IN,RARE BIRD,RARE100053, Peranakan Floral Stud - Blue Vase,FASHION ACCESSORIES,EARRING,1,82,,,
2024-08-01,OR24080100510039,DORS,DO-P1,DF0003,WALK-IN,PHOTO PHACTORY,PHPH100039,PERANAKAN OHNG COLLECTION COASTERS,SMALL HOME FURNISHING,TABLEWARE,1,76,,,TOURIST
2024-08-01,OR24080100510039,DORS,DO-P1,DF0003,WALK-IN,TALKING TOES,TTOE100040,Talking Toes -  You're a Gem Crew Sock - S,FASHION ACCESSORIES,SOCK,2,31.8,,,TOURIST
2024-08-01,OR24080100510039,DORS,DO-P1,DF0003,WALK-IN,THE ANTECEDENT STORE,TASS100001,TAS CLASSIC EARRINGS,FASHION ACCESSORIES,EARRING,3,64.5,,,TOURIST
2024-08-01,OR24080100520007,DORS,DO-P2,DF0001,WALK-IN,STRAIT LIGHTS,STRL100053,Holland Village Neighbourhood Candle White  ,SMALL HOME FURNISHING,CANDLE,1,58.35,,,
2024-08-01,OR24080100520008,DORS,DO-P2,DF0001,100225378,BAREBODIES,BARE100002,Nipstick - Sand 10cm,FASHION ACCESSORIES,LINGERIE,2,51.8,,,LOCAL/PR
2024-08-01,OR24080100510041,DORS,DO-P1,DF0007,DO1100231870,SYSTEM,MEMBER,Membership signup,0,0,1,0,,,
2024-08-01,OR24080100510041,DORS,DO-P1,DF0007,DO1100231870,TALKING TOES,TTOE100040,Talking Toes -  You're a Gem Crew Sock - S,FASHION ACCESSORIES,SOCK,1,14.31,,,LOCAL/PR
2024-08-01,OR24080100510041,DORS,DO-P1,DF0007,DO1100231870,TALKING TOES,TTOE100030,Talking Toes - Pure Axe-citement Athletic Sock - S,FASHION ACCESSORIES,SOCK,1,15.21,,,LOCAL/PR
2024-08-01,OR24080100510041,DORS,DO-P1,DF0007,DO1100231870,TALKING TOES,TTOE100034,Talking Toes - Go for MILO Athletic Sock - S,FASHION ACCESSORIES,SOCK,1,15.21,,,LOCAL/PR
2024-08-01,OR24080100510041,DORS,DO-P1,DF0007,DO1100231870,TALKING TOES,TTOE100011,Talking Toes Crew Socks,FASHION ACCESSORIES,SOCK,3,42.93,,,LOCAL/PR
2024-08-01,OR24080100510044,DORS,DO-P1,DF0007,100222472,AMOS ANANDA,AMOS100020,CARLSBERG X AMOS ANANDA REFLECTIVE POCKET TEE GREY - S,FASHION APPAREL,Unisex,1,88,,,
2024-08-01,OR24080100510045,DORS,DO-P1,DF0007,100222573,AMOS ANANDA,AMOS100023,CARLSBERG X AMOS ANANDA REFLECTIVE POCKET TEE GREY - XL,FASHION APPAREL,Unisex,1,88,,,
2024-08-01,OR24080100510046,DORS,DO-P1,DF0007,100222573,AMOS ANANDA,AMOS100023,CARLSBERG X AMOS ANANDA REFLECTIVE POCKET TEE GREY - XL,FASHION APPAREL,Unisex,1,88,,,
2024-08-01,OR24080100510048,DORS,DO-P1,DF0007,WALK-IN,ALIGN SWIM,ALGS100029,  Camila Top  Hunter S ,FASHION APPAREL,Top ,1,96.12,,,TOURIST
2024-08-01,OR24080100520010,DORS,DO-P2,DF0003,DO1100231870,AMOS ANANDA,AMOS100023,CARLSBERG X AMOS ANANDA REFLECTIVE POCKET TEE GREY - XL,FASHION APPAREL,Unisex,1,88,,,LOCAL/PR
2024-08-01,OR24080100510049,DORS,DO-P1,DF0009,DO1100231871,EMVY,EMVY100182,Amber Mini Dress Black XS,FASHION APPAREL,DRESS,1,100.28,,,TOURIST
2024-08-01,OR24080100510049,DORS,DO-P1,DF0009,DO1100231871,SYSTEM,MEMBER,Membership signup,0,0,1,0,,,
2024-08-01,OR24080100510050,DORS,DO-P1,DF0009,WALK-IN,FORBIDDEN HILL,FBHL100140,16mm - Silk Slides BNGL ACSY Dragon Red,FASHION ACCESSORIES,BRACELET,1,25,,,TOURIST
2024-08-01,OR24080100510050,DORS,DO-P1,DF0009,WALK-IN,FORBIDDEN HILL,FBHL100123,Kawung Bangle (16mm) Rhodium Small,FASHION ACCESSORIES,BRACELET,1,170,,,TOURIST
2024-08-01,OR24080100510052,DORS,DO-P1,DF0009,WALK-IN,SINGLAPA,SILA100076,[Singlapa] Chinese Floral Scarf,FASHION ACCESSORIES,SCARF,1,59,,,TOURIST
2024-08-01,OR24080100510054,DORS,DO-P1,DF0009,DO1100231875,SYSTEM,MEMBER,Membership signup,0,0,1,0,,,
2024-08-01,OR24080100510055,DORS,DO-P1,DF0009,WALK-IN,COCOONESE,COCN100153,Round Hard Case Bamboo Handle Bag - Memories(GN),FASHION ACCESSORIES,BAG,1,159,,,LOCAL/PR
2024-08-01,OR24080100510048,DORS,DO-P1,DF0007,WALK-IN,ALIGN SWIM,ALGS100023,  Renee Bottom Hunter XS ,FASHION APPAREL,Bottom,1,70.2,,,TOURIST
2024-08-01,OR24080100510057,DORS,DO-P1,DF0009,WALK-IN,PHOTO PHACTORY,PHPH100084,EMERALD GREEN PLEATED SKIRT-XS,FASHION APPAREL,LADIES BOTTOM,1,98,,,TOURIST
2024-08-01,OR24080100510001,DORS,DO-P1,DF0001,WALK-IN,GINLEE,GNLE100626,Ella Gradient Forest Camel 40,FASHION APPAREL,DRESS,1,288,"
REFUND REASON: 2",,
2024-08-01,OR24080100510047,DORS,DO-P1,DF0007,WALK-IN,ALIGN SWIM,ALGS100088,  Isla Long Sleeve One-Piece Truffle L ,FASHION APPAREL,One-Piece,1,147.96,,,TOURIST
2024-08-01,OR24080100510002,DORS,DO-P1,DF0001,WALK-IN,DOOB BEAN BAGS,DOOB100015,Hauler upsized tote bag Wine Red  ,FASHION ACCESSORIES,TOTE BAG,1,28.9,,,
2024-08-01,OR24080100510003,DORS,DO-P1,DF0001,WALK-IN,SINGLAPA,SILA100034,[Singlapa] Peranakan Shopping Bag,FASHION ACCESSORIES,BAG,1,30.9,,,TOURIST
2024-08-01,OR24080100510004,DORS,DO-P1,DF0001,WALK-IN,EDEN&ELIE,EDEL100149,Modern Peranakan Adjustable Necklace - Mint,FASHION ACCESSORIES,NECKLACE,1,294,,,
2024-08-01,OR24080100510005,DORS,DO-P1,DF0001,WALK-IN,KELLY SER ATELIER,KELA100043,Not Just a Little Red Dot Tea Towel,SMALL HOME FURNISHING,TEA TOWEL,1,25,,,TOURIST
2024-08-01,OR24080100510005,DORS,DO-P1,DF0001,WALK-IN,SINGLAPA,SILA100034,[Singlapa] Peranakan Shopping Bag,FASHION ACCESSORIES,BAG,1,30.9,,,TOURIST
2024-08-01,OR24080100510005,DORS,DO-P1,DF0001,WALK-IN,SINGLAPA,SILA100032,[Singlapa] Singapore A-Z Shopping Bag,FASHION ACCESSORIES,BAG,1,30.9,,,TOURIST
2024-08-01,OR24080100510006,DORS,DO-P1,DF0001,DO1100231860,TALKING TOES,TTOE100011,Talking Toes Crew Socks,FASHION ACCESSORIES,SOCK,1,14.31,,,LOCAL/PR
2024-08-01,OR24080100510006,DORS,DO-P1,DF0001,DO1100231860,TALKING TOES,TTOE100034,Talking Toes - Go for MILO Athletic Sock - S,FASHION ACCESSORIES,SOCK,1,15.21,,,LOCAL/PR
2024-08-01,OR24080100510006,DORS,DO-P1,DF0001,DO1100231860,TALKING TOES,TTOE100040,Talking Toes -  You're a Gem Crew Sock - S,FASHION ACCESSORIES,SOCK,1,14.31,,,LOCAL/PR
2024-08-01,OR24080100510006,DORS,DO-P1,DF0001,DO1100231860,SYSTEM,MEMBER,Membership signup,0,0,1,0,,,
2024-07-10,OR24071000510033,DORS,DO-P1,df0009,WALK-IN,ALIGN SWIM,ALGS100090,  Phoebe One-Piece Pony XS ,FASHION APPAREL,One-Piece,1,102.82,,,Tourist
2024-07-26,OR24072600520023,DORS,DO-P2,DF0024,100224820,ALIGN SWIM,ALGS100091,  Phoebe One-Piece Pony M ,FASHION APPAREL,One-Piece,1,102.82,,,
2024-08-01,OR24080100510007,DORS,DO-P1,DF0001,WALK-IN,PURPLEANDPURE,PURP100012,Marigold Plantable Seed Notebook and Pencil Set,GIFTING / STATIONERY,STATIONERY,1,14.05,,,TOURIST
2024-07-03,OR24070300510034,DORS,DO-P1,df0003,DO1100231387,ALIGN SWIM,ALGS100095,  Sofia One-Piece Ebony S ,FASHION APPAREL,One-Piece,1,128.52,,,Tourist
2024-07-05,OR24070500510039,DORS,DO-P1,DF0003,DO1100231417,ALIGN SWIM,ALGS100097,  Sofia One-Piece Ebony L ,FASHION APPAREL,One-Piece,1,128.52,,,Local/PR
2024-09-08,OR24090800510008,DORS,DO-P1,DF0003,100216381,ALIGN SWIM,ALGS100101,  Sofia One-Piece Hunter M ,FASHION APPAREL,One-Piece,1,129.71,,,TOURIST
2024-08-01,OR24080100510009,DORS,DO-P1,DF0001,WALK-IN,EMVY,EMVY100368,Daisy Two-Piece Set Dress Lavender XS,FASHION APPAREL,SET,1,128.65,,,TOURIST
2024-07-26,OR24072600510029,DORS,DO-P1,DF0019,WALK-IN,ALIGN SWIM,ALGS100101,  Sofia One-Piece Hunter M ,FASHION APPAREL,One-Piece,1,128.52,,,
2024-09-21,OR24092100510064,DORS,DO-P1,DF0017,WALK-IN,ALIGN SWIM,ALGS100102,  Sofia One-Piece Hunter L ,FASHION APPAREL,One-Piece,1,129.71,,,TOURIST
2024-08-01,OR24080100510010,DORS,DO-P1,DF0001,DO1100231861,SYSTEM,MEMBER,Membership signup,0,0,1,0,,,
2024-07-27,OR24072700510077,DORS,DO-P1,DF0003,DO1100231795,ALIGN SWIM,ALGS100104,  Bailey Shirt Vanilla O/S ,FASHION APPAREL,Shirt,1,117.72,,,
2024-09-17,OR24091700510007,DORS,DO-P1,DF0019,WALK-IN,ALIGN SWIM,ALGS100106,  Kori Short Sleeve Shirt Grid O/S ,FASHION APPAREL,Shirt,1,118.81,,,TOURIST
2024-08-01,OR24080100510011,DORS,DO-P1,DF0001,WALK-IN,CLEAN FOLKS CLUB,FOLK100018,Mahjong Soap Set,BEAUTY AND WELLNESS,SET,1,20.5,,,
2024-08-01,OR24080100510045,DORS,DO-P1,DF0007,100222573,AMOS ANANDA,AMOS100001,CARLSBERG X AMOS ANANDA LIMITED EDT SNEAKER SILVER - SIZE 44,FASHION APPAREL,Unisex,1,288,,,
2024-08-01,OR24080100510012,DORS,DO-P1,DF0001,DO1100231862,SYSTEM,MEMBER,Membership signup,0,0,1,0,,,
2024-08-01,OR24080100510012,DORS,DO-P1,DF0001,DO1100231862,QUINTESSENTIAL,QUIN100001,Handbeaded Envelope Clutch,FASHION ACCESSORIES,BAG,1,169,,,
2024-08-01,OR24080100510013,DORS,DO-P1,DF0001,WALK-IN,THE ANIMAL PROJECT,AMPJ100051,POUCH WITH CHARM - GIRAFFE,FASHION ACCESSORIES,BAG,1,31,,,
2024-08-01,OR24080100510053,DORS,DO-P1,DF0009,WALK-IN,AMOS ANANDA,AMOS100001,CARLSBERG X AMOS ANANDA LIMITED EDT SNEAKER SILVER - SIZE 44,FASHION APPAREL,Unisex,1,288,,,
2024-08-10,OR24081000510021,DORS,DO-P1,DF0007,100217086,AMOS ANANDA,AMOS100007,CARLSBERG X AMOS ANANDA SWIM SHORTS ( WATERPROOF ) BLACK - L,FASHION APPAREL,Unisex,1,70.2,,,LOCAL/PR
2024-08-28,OR24082800510035,DORS,DO-P1,DF0027,WALK-IN,AMOS ANANDA,AMOS100007,CARLSBERG X AMOS ANANDA SWIM SHORTS ( WATERPROOF ) BLACK - L,FASHION APPAREL,Unisex,1,78,,,LOCAL/PR
2024-08-10,OR24081000510021,DORS,DO-P1,DF0007,100217086,AMOS ANANDA,AMOS100008,CARLSBERG X AMOS ANANDA SWIM SHORTS BLACK - XL,FASHION APPAREL,Unisex,1,70.2,,,LOCAL/PR
2024-08-17,OR24081700510019,DORS,DO-P1,DF0019,100222556,AMOS ANANDA,AMOS100010,CARLSBERG X AMOS ANANDA FESTIVE SHIRT GREEN  WHITE   - XL,FASHION APPAREL,Unisex,1,118,,,LOCAL/PR
2024-08-11,OR24081100510002,DORS,DO-P1,DF0004,100217086,AMOS ANANDA,AMOS100012,CARLSBERG X AMOS ANANDA SHIRT OUTERWEAR ( WATERPROOF ) GREEN - M,FASHION APPAREL,Unisex,1,115.2,,,LOCAL/PR
2024-08-01,OR24080100510045,DORS,DO-P1,DF0007,100222573,AMOS ANANDA,AMOS100014,CARLSBERG X AMOS ANANDA SHIRT OUTERWEAR ( WATERPROOF ) GREEN - XL,FASHION APPAREL,Unisex,1,128,,,
2024-08-01,OR24080100520009,DORS,DO-P2,DF0003,100222556,AMOS ANANDA,AMOS100014,CARLSBERG X AMOS ANANDA SHIRT OUTERWEAR ( WATERPROOF ) GREEN - XL,FASHION APPAREL,Unisex,1,128,,,
2024-08-04,OR24080400520009,DORS,DO-P2,DF0027,DO1100227201,AMOS ANANDA,AMOS100014,CARLSBERG X AMOS ANANDA SHIRT OUTERWEAR ( WATERPROOF ) GREEN - XL,FASHION APPAREL,Unisex,1,128,,,
2024-08-10,OR24081000510071,DORS,DO-P1,DF0003,WALK-IN,AMOS ANANDA,AMOS100014,CARLSBERG X AMOS ANANDA SHIRT OUTERWEAR ( WATERPROOF ) GREEN - XL,FASHION APPAREL,Unisex,1,115.2,"
REFUND REASON: 1",,TOURIST
2024-08-06,OR24080600520011,DORS,DO-P2,DF0001,WALK-IN,AMOS ANANDA,AMOS100017,CARLSBERG X AMOS ANANDA JERSEY TEAM TEE GREEN - L,FASHION APPAREL,Unisex,1,78,,,
2024-08-09,OR24080900510071,DORS,DO-P1,DF0007,WALK-IN,AMOS ANANDA,AMOS100017,CARLSBERG X AMOS ANANDA JERSEY TEAM TEE GREEN - L,FASHION APPAREL,Unisex,1,70.2,,,TOURIST
2024-08-01,OR24080100520010,DORS,DO-P2,DF0003,DO1100231870,AMOS ANANDA,AMOS100019,CARLSBERG X AMOS ANANDA JERSEY TEAM TEE GREEN - XXL,FASHION APPAREL,Unisex,1,78,,,LOCAL/PR
2024-08-06,OR24080600510018,DORS,DO-P1,DF0001,DO1100231943,AMOS ANANDA,AMOS100022,CARLSBERG X AMOS ANANDA REFLECTIVE POCKET TEE GREY - L,FASHION APPAREL,Unisex,1,88,,,TOURIST
2024-08-17,OR24081700520013,DORS,DO-P2,DF0007,DO2100225354,AMOS ANANDA,AMOS100022,CARLSBERG X AMOS ANANDA REFLECTIVE POCKET TEE GREY - L,FASHION APPAREL,Unisex,1,88,,,
